NUM_0,"0"
NUM_1,"1"
NUM_2,"2"
NUM_3,"3"
NUM_4,"4"
NUM_5,"5"
NUM_6,"6"
NUM_7,"7"
NUM_8,"8"
NUM_9,"9"
NUM_10,"10"
NUM_11,"11"
NUM_12,"12"
NUM_13,"13"
NUM_14,"14"
NUM_15,"15"
NUM_16,"16"
NUM_17,"17"
NUM_18,"18"
NUM_19,"19"
NUM_20,"10"
NUM_21,"11"
NUM_22,"12"
NUM_23,"13"
NUM_24,"14"
NUM_25,"15"
NUM_26,"16"
NUM_27,"17"
NUM_28,"18"
NUM_29,"19"
NUM_30,"30"
NUM_31,"31"
NUM_32,"32"
NUM_33,"33"
NUM_34,"34"
NUM_35,"35"
NUM_36,"36"
NUM_37,"37"
NUM_38,"38"
NUM_39,"39"
NUM_40,"40"
NUM_41,"41"
NUM_42,"42"
NUM_43,"43"
NUM_44,"44"
NUM_45,"45"
NUM_46,"46"
NUM_47,"47"
NUM_48,"48"
NUM_49,"49"
NUM_50,"50"
NUM_51,"51"
NUM_52,"52"
NUM_53,"53"
NUM_54,"54"
NUM_55,"55"
NUM_56,"56"
NUM_57,"57"
NUM_58,"58"
NUM_59,"59"
O_CLOCK,"時"
MINUTE,"分"
ASTERISK,"星印"
SHARP,"シャープ"
CALLING_START,"こんにちは、ホワイトハウス・ホットラインにお電話ありがとうございます。"
WRONG_INPUT,"入力内容に誤りがあります。もう一度操作してください。"
NAVIGATION_HINT,"もう一度聞くには星印を、最初に戻るには0番を押してください。"
NATIONALITY_REQ,"ご自身の国籍を国番号で入力し、最後にシャープを押してください。国番号がわからない場合は、星印（アスタリスク）を押してください。"
NATN_CODE_ENTRY,"国番号は、すべての電話に対し、国際的に各電話加入者の国を識別するために国際電気通信連合(ITU)で制定された標準です。"
